sido,sigungu,car_type,car_purpose,year,month,value
서울,구로구,승용,계,2025,05,"123,842"
서울,구로구,승합,관용,2025,05,59
서울,구로구,승합,자가용,2025,05,"3,644"
서울,구로구,승합,영업용,2025,05,565
서울,구로구,승합,계,2025,05,"4,268"
서울,구로구,화물,관용,2025,05,126
서울,구로구,화물,자가용,2025,05,"13,507"
서울,구로구,화물,영업용,2025,05,"2,573"
서울,구로구,화물,계,2025,05,"16,206"
서울,구로구,특수,관용,2025,05,7
서울,구로구,특수,자가용,2025,05,322
서울,구로구,특수,영업용,2025,05,169
서울,구로구,특수,계,2025,05,498
서울,구로구,총계,관용,2025,05,303
서울,구로구,총계,자가용,2025,05,"132,150"
서울,구로구,총계,영업용,2025,05,"12,361"
서울,구로구,총계,계,2025,05,"144,814"
서울,금천구,승용,관용,2025,05,58
서울,금천구,승용,자가용,2025,05,"71,549"
서울,금천구,승용,영업용,2025,05,"2,712"
서울,금천구,승용,계,2025,05,"74,319"
서울,금천구,승합,관용,2025,05,33
서울,금천구,승합,자가용,2025,05,"2,402"
서울,금천구,승합,영업용,2025,05,434
서울,금천구,승합,계,2025,05,"2,869"
서울,금천구,화물,관용,2025,05,78
서울,금천구,화물,자가용,2025,05,"10,478"
서울,금천구,화물,영업용,2025,05,"2,286"
서울,금천구,화물,계,2025,05,"12,842"
서울,금천구,특수,관용,2025,05,12
서울,금천구,특수,자가용,2025,05,200
서울,금천구,특수,영업용,2025,05,100
서울,금천구,특수,계,2025,05,312
서울,금천구,총계,관용,2025,05,181
서울,금천구,총계,자가용,2025,05,"84,629"
서울,금천구,총계,영업용,2025,05,"5,532"
서울,금천구,총계,계,2025,05,"90,342"
서울,노원구,승용,관용,2025,05,80
서울,노원구,승용,자가용,2025,05,"128,613"
서울,노원구,승용,영업용,2025,05,"5,560"
서울,노원구,승용,계,2025,05,"134,253"
서울,노원구,승합,관용,2025,05,51
서울,노원구,승합,자가용,2025,05,"3,047"
서울,노원구,승합,영업용,2025,05,752
서울,노원구,승합,계,2025,05,"3,850"
서울,노원구,화물,관용,2025,05,171
서울,노원구,화물,자가용,2025,05,"9,545"
서울,노원구,화물,영업용,2025,05,"2,128"
서울,노원구,화물,계,2025,05,"11,844"
서울,노원구,특수,관용,2025,05,11
서울,노원구,특수,자가용,2025,05,272
서울,노원구,특수,영업용,2025,05,250
서울,노원구,특수,계,2025,05,533
서울,노원구,총계,관용,2025,05,313
서울,노원구,총계,자가용,2025,05,"141,477"
서울,노원구,총계,영업용,2025,05,"8,690"
서울,노원구,총계,계,2025,05,"150,480"
서울,도봉구,승용,관용,2025,05,93
서울,도봉구,승용,자가용,2025,05,"76,017"
서울,도봉구,승용,영업용,2025,05,"4,536"
서울,도봉구,승용,계,2025,05,"80,646"
